Feature,Type,MissingCount,MissingRate,ValidN,IV_value,Stat_p,Penalty,w_p,w_r,w_b,w_t,VIF,VIF_flag,Score,dynamic_keep,dynamic_review,Decision
BloodPressure,categorical,41460,0.17018446912789695,202158,0.2716406735046997,0.0,0.829815530872103,1.5,1.0,1.0,0.9,0.0,False,0.30430572708252335,0.08298155308721031,0.016596310617442062,Keep
Cholesterol,categorical,36545,0.150009441010106,207073,0.2115046656654646,0.0,0.849990558989894,1.5,1.0,1.0,0.9,0.0,False,0.24269890814724449,0.0849990558989894,0.016999811179797878,Keep
GeneralHealth,categorical,63374,0.2601367715029267,180244,0.21888182078226415,0.0,0.7398632284970733,1.5,1.0,1.0,0.9,0.0,False,0.21862252428743306,0.07398632284970734,0.014797264569941466,Keep
HeartDiseaseorAttack,categorical,65880,0.2704233677314484,177738,0.1754538001261933,0.0,0.7295766322685515,1.5,1.0,1.0,0.9,0.0,False,0.17280944002996337,0.07295766322685515,0.01459153264537103,Keep
DiffWalk,categorical,131623,0.5402843796435403,111995,0.2182000389360837,0.0,0.45971562035645974,1.5,1.0,1.0,0.9,0.0,False,0.13541845445276227,0.04597156203564598,0.009194312407129195,Keep
Education,categorical,70635,0.289941629928823,172983,0.09613065996390821,0.0,0.710058370071177,1.5,1.0,1.0,0.9,0.0,False,0.09214881263258294,0.0710058370071177,0.014201167401423541,Keep
BMI,numeric,80337,0.3297662734280718,163281,0.08611464519013436,1.2380780728192788e-264,0.6702337265719283,1.5,1.0,1.0,1.0,0.0,False,0.08657540933730469,0.06702337265719283,0.013404674531438565,Keep
Physical (days),numeric,131506,0.5398041195642358,112112,0.13627313884345074,0.0,0.4601958804357642,1.5,1.0,0.8,1.0,0.0,False,0.07525480453176835,0.04601958804357642,0.009203917608715284,Keep
Stroke,categorical,146093,0.5996806475711975,97525,0.09924367659405928,2.620683282261153e-209,0.40031935242880246,1.5,1.0,1.2,0.9,0.0,False,0.06436124624179544,0.04003193524288025,0.00800638704857605,Keep
Age,numeric,58352,0.23952253117585728,185266,0.053178833867950255,1.176783508808516e-114,0.7604774688241427,1.5,1.0,1.0,1.0,0.0,False,0.0606619574623776,0.07604774688241428,0.015209549376482855,Keep
Alcoholic,categorical,51164,0.210017322201151,192454,0.0568215030204953,1.1764350690833104e-135,0.789982677798849,1.5,1.0,1.0,0.9,0.0,False,0.06059880420212646,0.0789982677798849,0.01579965355597698,Keep
PhysActivity,categorical,172866,0.7095781099918725,70752,0.11779816892141678,6.432602651514458e-214,0.29042189000812746,1.5,1.0,1.2,0.9,0.0,False,0.05542209030940033,0.02904218900081275,0.0058084378001625496,Keep
CholCheck,categorical,138964,0.5704176210296448,104654,0.06947241453322325,2.0802129260779733e-110,0.4295823789703552,1.5,1.0,1.0,0.9,0.0,False,0.04028956889579558,0.042958237897035526,0.008591647579407105,Review
Mental (days),numeric,119408,0.49014440640675155,124210,0.06056558575820193,7.630973761123338e-100,0.5098555935932485,1.5,1.0,0.8,1.0,0.0,False,0.037055643213685006,0.050985559359324854,0.01019711187186497,Review
Smoker,categorical,109689,0.45024998152845846,133929,0.04513941119747404,1.1477208736366928e-114,0.5497500184715416,1.5,1.0,1.0,0.9,0.0,False,0.03350077938846792,0.05497500184715416,0.010995000369430833,Review
Sex,categorical,63410,0.2602845438350204,180208,0.031538139577846416,1.1954136332673909e-39,0.7397154561649796,1.5,1.0,1.0,0.9,0.0,False,0.03149448656096897,0.07397154561649796,0.014794309123299591,Review
Veggies,categorical,155931,0.6400635421028003,87687,0.06018555393169516,1.0661156578495789e-69,0.35993645789719975,1.5,1.0,0.8,0.9,0.0,False,0.023396013106655664,0.035993645789719975,0.007198729157943995,Review
Fruits,categorical,148565,0.6098276810416308,95053,0.02937282790709504,8.347581482963882e-33,0.39017231895836924,1.5,1.0,1.0,0.9,0.0,False,0.015471626911483105,0.039017231895836925,0.0078034463791673845,Remove
NoDocbcCost,categorical,182728,0.7500595194115377,60890,0.04370821376197928,5.50051856363905e-26,0.2499404805884623,1.5,1.0,1.0,0.9,0.0,False,0.014748010136998663,0.02499404805884623,0.004998809611769246,Remove
AnyHealthcare,categorical,168079,0.6899284946104146,75539,0.020573802512234722,1.1399343912526917e-07,0.3100715053895854,1.5,1.0,1.0,0.9,0.0,False,0.008612122387351484,0.03100715053895854,0.006201430107791708,Remove
Income,numeric,16999,0.06977727425723879,226619,0.0038959418576879246,0.17909426307896079,0.9302227257427612,1.0,1.0,1.0,1.0,0.0,False,0.003624093654193778,0.09302227257427613,0.018604454514855224,Remove
